位置,编号,姓名,身高,身高米,体重磅,体重kg,出生日期 (年–月–日),来自
摇摆人,17,加莱特·坦普尔,6英尺5英寸,1.96,195磅,88,1986–05–08,路易斯安那州立大学
前锋,21,威尔逊·钱德勒,6英尺8英寸,2.03,235磅,107,1987–05–10,德保罗大学
后卫,0,卡蒂姆·艾伦 (TW),6英尺3英寸,1.91,200磅,91,1993–01–15,亚利桑那大学
前锋,1,鲍比·波蒂斯,6英尺11英寸,2.11,250磅,113,1995–02–10,阿肯色大学
后卫,2,韦恩·艾灵顿,6英尺5英寸,1.96,200磅,91,1987–11–29,北卡罗来纳大学教堂山分校
后卫,3,莫里斯·哈克里斯,6英尺7英寸,2.01,208磅,94,1993–05–11,圣若望大学
后卫,5,小丹尼斯·史密斯,6英尺3英寸,1.91,195磅,88,1997–11–25,北卡罗来纳大学
后卫,6,艾弗里德·佩顿,6英尺4英寸,1.93,185磅,84,1994–02–22,路易斯安那大学拉法叶分校
后卫,9,R·J·巴瑞特,6英尺7英寸,2.01,202磅,92,2000–07–14,杜克大学
后卫,11,弗兰克·尼利基纳,6英尺5英寸,1.96,190磅,86,1998–07–28,[[SIG斯特拉斯堡]]
后卫,14,阿朗佐·特雷尔 (TW),6英尺5英寸,1.96,205磅,93,1996–01–17,亚利桑那大学
前锋,17,伊格纳斯·布拉代克里斯,6英尺7英寸,2.01,215磅,98,1999–01–08,密歇根大学
前锋,20,凯文·诺克斯,6英尺9英寸,2.06,212磅,96,1999–08–11,肯塔基大学
后卫,21,达米姆·道森,6英尺5英寸,1.96,210磅,95,1994–05–06,休士顿大学
中锋,23,米切尔·罗宾逊,7英尺1英寸,2.16,225磅,102,1998–04–01,查尔梅特高中*
摇摆人,25,雷吉·布洛克,6英尺5英寸,1.96,205磅,93,1991–03–16,北卡罗来纳大学教堂山分校
前锋,30,朱利叶斯·兰德尔,6英尺9英寸,2.06,250磅,113,1994–11–29,肯塔基大学
前锋,45,肯尼·伍顿 (TW),6英尺9英寸,2.06,200磅,91,1998–04–17,俄勒冈大学
前锋,67,泰·吉布森,6英尺9英寸,2.06,232磅,105,1985–06–24,南加州大学
中锋,21,乔尔·恩比德 (C),7英尺0英寸,2.13,280磅,127,1994–03–16,堪萨斯大学
前锋,12,托比亚斯·哈里斯,6英尺9英寸,2.06,235磅,107,1992–07–15,田纳西大学
中/前锋,42,艾尔·霍福德,6英尺9英寸,2.06,240磅,109,1986–06–03,佛罗里达
摇摆人,30,富尔坎·柯尔克玛兹,6英尺7英寸,2.01,202磅,92,1997–07–24,[[本德尔尔玛BK]]
后卫,18,谢克·米尔顿,6英尺5英寸,1.96,205磅,93,1996–09–26,南方卫理会大学
后卫,19,劳尔·内托,6英尺1英寸,1.85,180磅,82,1992–05–19,[[穆尔西亚天主教大学]]
中/前锋,9,凯尔·奥奎因,6英尺9英寸,2.06,250磅,113,1990–03–26,诺福克州立大学*
前锋,14,诺威尔·佩尔,6英尺10英寸,2.08,231磅,105,1993–02–03,普莱斯三世私立高中*
后卫,0,约什·理查德森,6英尺5英寸,1.96,200磅,91,1993–09–15,田纳西
前锋,1,迈克·斯科特,6英尺7英寸,2.01,237磅,108,1988–07–16,弗吉尼亚
后卫,35,马里亚尔·沙约克 (TW),6英尺5英寸,1.96,196磅,89,1995–07–26,爱荷华州立
摇摆人,25,班·西蒙斯,6英尺10英寸,2.08,240磅,109,1996–07–20,路易斯安那州立大学
后卫,5,柴尔·史密斯,6英尺3英寸,1.91,205磅,93,1999–06–04,德克萨斯理工大学
后卫,22,马蒂斯·塞布尔,6英尺5英寸,1.96,200磅,91,1997–03–04,华盛顿
前锋,40,格伦·罗宾逊,6英尺6英寸,1.98,211磅,96,1994–01–08,密歇根大学
后卫,20,亚历克·伯克斯,6英尺6英寸,1.98,195磅,88,1991–07–20,科罗拉多大学波德分校
前锋,3,OG·阿努诺比,6英尺7英寸,2.01,232磅,105,1997–07–17,印第安纳
前锋,25,克里斯·布歇,6英尺9英寸,2.06,200磅,91,1993–01–11,俄勒冈
前锋,12,奥谢·布里塞特 (TW),6英尺7英寸,2.01,210磅,95,1998–06–20,锡拉丘兹
后卫,0,特伦斯·戴维斯,6英尺4英寸,1.93,205磅,93,1997–05–16,密西西比
中锋,33,马克·加索尔 Injured,7英尺1英寸,2.16,255磅,116,1985–01–29,[[吉隆纳]]
前锋,20,德万·埃尔南德斯 Injured,6英尺10英寸,2.08,235磅,107,1996–12–09,[[佛罗里达迈阿密大学]]
前锋,4,朗达·霍里斯-杰弗森 Injured,6英尺7英寸,2.01,217磅,98,1995–01–03,亚利桑那
中/前锋,9,赛尔吉·伊巴卡,7英尺0英寸,2.13,235磅,107,1989–09–18,[[曼雷萨]]
前锋,5,斯坦利·约翰逊,6英尺7英寸,2.01,245磅,111,1996–05–29,亚利桑那
后卫,7,凯尔·洛瑞 (C),6英尺0英寸,1.83,196磅,89,1986–03–25,维拉诺瓦
后卫,22,帕特里克·麦考,6英尺7英寸,2.01,185磅,84,1995–10–25,拉斯维加斯内大
前锋,13,麦尔坎·米勒,6英尺7英寸,2.01,210磅,95,1993–03–06,圣十字
摇摆人,24,诺曼·鲍威尔 Injured,6英尺4英寸,1.93,215磅,98,1993–05–25,洛杉矶加大
前锋,43,帕斯卡·西亚卡姆,6英尺9英寸,2.06,230磅,104,1994–04–02,新墨西哥州立
后卫,21,马特·托马斯,6英尺4英寸,1.93,190磅,86,1994–08–04,爱荷华州立
后卫,23,弗里德·范弗利特,6英尺0英寸,1.83,195磅,88,1994–02–25,卫奇塔州立
前锋,1,保罗·沃特森 (TW),6英尺6英寸,1.98,210磅,95,1994–12–30,弗雷斯诺州立
后卫,51,里安·阿西迪亚科诺,6英尺3英寸,1.91,200磅,91,1994–03–26,维拉诺瓦大学
中锋,34,温德尔·卡特,6英尺10英寸,2.08,255磅,116,1999–04–16,杜克大学
后卫,32,克里斯·邓恩,6英尺4英寸,1.93,205磅,93,1994–03–18,普洛威顿斯学院
中/前锋,6,克里斯蒂亚诺·费里西欧,6英尺10英寸,2.08,265磅,120,1992–07–07,[[弗朗明戈]]
中/前锋,12,丹尼尔·加福德,6英尺11英寸,2.11,238磅,108,1998–10–01,阿肯色大学
